date,temperature_2m_max,temperature_2m_min,daylight_duration,sunshine_duration,uv_index_max,uv_index_clear_sky_max,precipitation_hours,wind_speed_10m_max,shortwave_radiation_sum,pred
2024-05-09,14.800000190734863,6.0,55607.94140625,46736.8125,4.599999904632568,6.25,0.0,9.726664543151855,19.46999931335449,17.933599445397565
2024-05-10,18.200000762939453,7.300000190734863,55806.21484375,50317.390625,5.300000190734863,6.400000095367432,0.0,14.480772972106934,22.13999938964844,20.079248434362245
2024-05-11,19.600000381469727,10.550000190734863,56000.82421875,44312.40234375,5.949999809265137,6.400000095367432,0.0,16.981164932250977,25.46999931335449,21.120529031383192
2024-05-12,23.700000762939453,12.649999618530272,56191.796875,49520.3125,6.199999809265137,6.400000095367432,0.0,21.64794540405273,25.26000022888184,21.479528503716242
2024-05-13,20.700000762939453,15.100000381469728,56380.66015625,40955.4296875,6.099999904632568,6.349999904632568,6.0,13.202726364135742,22.06999969482422,17.565384117806353
2024-05-14,25.100000381469727,13.899999618530272,56567.51171875,42679.37109375,6.400000095367432,6.400000095367432,6.0,26.93271446228028,23.709999084472656,19.53750325096201
2024-05-15,17.799999237060547,13.100000381469728,56752.17578125,27030.169921875,5.199999809265137,6.199999809265137,14.0,11.770402908325195,18.1200008392334,13.328744068286568
2024-05-16,19.700000762939453,12.199999809265137,56934.45703125,16597.701171875,5.0,6.300000190734863,16.0,14.471820831298828,16.43000030517578,11.851161942762827
2024-05-17,17.25,12.050000190734863,57114.1796875,16010.4140625,5.199999809265137,6.300000190734863,18.0,20.8737907409668,17.700000762939453,12.27045272175544
2024-05-19,20.5,12.149999618530272,57465.08984375,52823.4609375,6.400000095367432,6.400000095367432,6.0,22.14804458618164,25.0,20.720830182524107
2024-05-20,18.100000381469727,12.649999618530272,57635.87109375,21239.189453125,6.099999904632568,6.349999904632568,18.0,18.014392852783203,15.390000343322754,11.41760196354082
2024-05-21,22.049999237060547,13.149999618530272,57803.25390625,32258.416015625,5.449999809265137,6.5,14.0,21.38896942138672,19.0,14.975435304317662
2024-05-22,17.450000762939453,13.800000190734863,57967.01953125,24057.056640625,5.599999904632568,6.449999809265137,7.0,30.145566940307617,19.89999961853028,15.066992613658877
2024-05-23,16.299999237060547,12.350000381469728,58126.9375,47315.19140625,6.5,6.5,6.0,25.567604064941406,25.14999961853028,20.077798598752672
2024-05-24,17.649999618530273,10.949999809265137,58282.78515625,7909.078125,4.599999904632568,6.550000190734863,14.0,16.071491241455078,13.579999923706056,9.888359739344232
2024-05-25,17.799999237060547,11.399999618530272,58434.3359375,22835.1953125,6.199999809265137,6.449999809265137,16.0,21.67786026000977,14.630000114440918,11.576343683309517
2024-05-26,19.14999961853028,11.399999618530272,58581.33984375,21942.76953125,5.300000190734863,6.5,12.0,22.608457565307617,13.010000228881836,11.002566993957172
2024-05-27,15.199999809265137,11.800000190734863,58723.56640625,44360.9140625,6.0,6.550000190734863,6.0,22.668569564819336,20.350000381469727,17.037476999063077
2024-05-28,16.850000381469727,11.050000190734863,58860.76171875,29032.03125,6.25,6.550000190734863,14.0,30.03789710998535,19.049999237060547,14.87046214402601
2024-05-29,15.600000381469728,12.25,58992.6953125,29825.17578125,6.5,6.5,19.0,28.116899490356445,23.200000762939453,16.385257981108516
2024-05-30,15.0,11.600000381469728,59119.11328125,31774.06640625,5.5,6.449999809265137,14.0,20.608230590820312,21.959999084472656,15.99305598222319
2024-05-31,17.25,12.699999809265137,59239.7578125,34794.5625,6.300000190734863,6.550000190734863,15.0,24.40045928955078,19.799999237060547,15.22063694260952
2024-06-01,16.0,12.649999618530272,59354.578125,0.0,5.349999904632568,6.550000190734863,7.0,26.43733596801757,9.779999732971191,7.513827286337647
2024-06-02,15.25,10.600000381469728,59464.50390625,30937.306640625,6.650000095367432,6.650000095367432,0.0,21.325252532958984,18.209999084472656,15.661825702288741
2024-06-03,15.699999809265137,10.149999618530272,59569.62109375,25042.97265625,5.75,6.699999809265137,0.0,16.19999885559082,16.010000228881836,13.92186885117731
2024-06-04,18.450000762939453,11.899999618530272,59669.7890625,30221.53515625,6.550000190734863,6.650000095367432,17.0,24.195106506347656,18.15999984741211,14.115722040025828
2024-06-05,13.350000381469728,10.5,59764.90234375,52734.01171875,6.5,6.599999904632568,4.0,26.574243545532227,27.290000915527344,21.826205931362328
2024-06-06,15.399999618530272,10.050000190734863,59854.828125,48633.09375,6.449999809265137,6.599999904632568,6.0,19.652175903320312,22.489999771118164,18.784618979785186
2024-06-08,15.600000381469728,9.449999809265137,60018.66015625,28622.8359375,6.650000095367432,6.699999809265137,12.0,27.23894119262696,21.57999992370605,16.60482353160057
2024-06-09,14.399999618530272,10.25,60092.32421875,47958.05859375,6.699999809265137,6.699999809265137,5.0,25.58280563354492,23.100000381469727,19.263270706822695
2024-06-10,12.649999618530272,10.050000190734863,60160.3359375,2166.74951171875,6.099999904632568,6.5,22.0,36.15805435180664,6.679999828338623,4.925118450679566
2024-06-11,13.699999809265137,10.050000190734863,60222.5859375,43801.171875,6.449999809265137,6.449999809265137,17.0,25.74440193176269,23.709999084472656,17.85945566393879
2024-06-12,12.350000381469728,9.399999618530272,60278.9765625,33065.65625,5.75,6.550000190734863,13.0,23.565568923950195,19.040000915527344,14.766960470306898
2024-06-13,15.399999618530272,9.800000190734863,60329.3828125,40669.4921875,6.25,6.75,8.0,23.27783393859864,20.530000686645508,17.094251558191573
2024-06-14,17.0,12.699999809265137,60373.7265625,3906.859375,4.599999904632568,6.599999904632568,15.0,27.21990203857422,12.0600004196167,8.249619255430332
